date,brand,model,quantity_sold,current_stock,reorder_threshold,lead_time
2022-03-11,Google,Pixel 4a,11,172,29,5
2023-07-22,MSI,GE76 Raider,43,466,32,9
2024-04-20,Vivo,Vivo Y51,18,157,47,12
2024-04-23,Apple,MacBook Pro 16,7,465,35,13
2023-04-27,HP,Pavilion 15,18,259,48,12
2022-07-31,Lenovo,IdeaPad 3,46,232,26,8
2021-04-07,Oppo,Oppo Reno 5,39,425,25,10
2023-12-06,Samsung,Galaxy S21,25,133,18,7
2022-02-06,Vivo,Vivo X50,49,53,50,5
2024-09-23,Apple,MacBook Pro 13,29,384,27,6
2021-06-06,Asus,ZenBook 14,16,391,27,5
2024-03-27,Oppo,Oppo A74,49,338,40,13
2023-02-03,Google,Pixel 5,34,36,26,10
2021-01-26,Dell,Latitude 7420,12,67,30,9
2022-04-21,Apple,MacBook Pro 13,21,474,22,5
2021-09-11,Google,Pixel 5,5,59,19,5
2021-05-21,Acer,Swift 3,43,168,26,5
2023-05-11,OnePlus,OnePlus 9,48,319,30,7
2022-02-20,Apple,MacBook Pro 13,2,311,28,10
2024-05-02,Google,Pixel 5,31,101,15,7
2022-11-25,Samsung,Galaxy S21,42,270,42,11
2023-02-03,Dell,Latitude 7420,40,263,40,8
2023-02-11,Apple,MacBook Air,4,273,34,11
2024-08-11,Google,Pixel 6,30,468,28,7
2021-08-13,Apple,MacBook Air,15,64,38,3
2022-11-10,Samsung,Galaxy S21,19,184,17,4
2021-03-05,Apple,iPhone 11,18,193,20,4
2024-11-28,Samsung,Galaxy S20,9,236,17,10
2023-09-05,Oppo,Oppo Reno 5,22,255,19,5
2023-03-04,OnePlus,OnePlus 9,49,82,23,3
2024-05-02,Apple,iPhone 12,36,201,15,13
2023-05-29,HP,Spectre x360,27,325,32,12
2022-06-19,Oppo,Oppo F19,38,176,22,11
2023-03-14,Vivo,Vivo Y51,2,190,10,8
2022-08-25,Oppo,Oppo F19,36,485,26,6
2024-02-18,MSI,Stealth 15M,13,206,10,7
2021-06-05,Dell,Inspiron 15,12,119,47,3
2021-06-11,Lenovo,Legion 5,4,152,11,13
2021-12-30,Realme,Realme 7,6,258,30,6
2023-02-14,Apple,MacBook Pro 13,22,79,37,5
2023-01-19,Asus,ZenBook 14,2,443,17,4
2021-10-21,Asus,ZenBook 14,50,483,34,12
2024-07-31,Lenovo,IdeaPad 3,30,122,37,11
2024-05-22,HP,Pavilion 15,46,26,35,10
2021-12-06,Apple,iPhone 11,32,295,34,13
2023-04-18,Samsung,Galaxy Note 10,13,277,32,9
2021-03-21,Samsung,Galaxy S21,42,196,19,14
2021-05-15,HP,EliteBook 840,38,110,33,9
2024-04-06,HP,Spectre x360,41,156,14,5
2022-06-22,Apple,iPhone 13,3,234,25,6
2021-12-18,Google,Pixel 6,42,346,42,5
2024-01-07,Asus,ROG Zephyrus,20,458,35,7
2021-12-19,Dell,Inspiron 15,11,472,40,12
2021-02-19,MSI,GF65 Thin,28,473,14,6
2024-09-01,Apple,MacBook Pro 16,20,488,27,10
2024-07-02,Apple,iPhone 11,42,73,13,12
2023-10-17,Vivo,Vivo X50,40,101,33,12
2023-04-01,Apple,iPhone 11,11,334,15,12
2021-05-14,Realme,Realme 7,25,151,29,3
2024-03-09,OnePlus,OnePlus 9,2,345,30,9
2022-04-03,Apple,MacBook Pro 16,40,442,19,10
2023-09-12,Lenovo,IdeaPad 3,7,94,15,12
2022-11-25,Realme,Realme X7,45,211,12,10
2021-04-28,Acer,Swift 3,13,165,14,6
2024-06-11,Oppo,Oppo F19,10,20,14,8
2024-10-12,Apple,MacBook Pro 16,9,230,13,8
2022-08-08,Apple,iPhone 13,45,447,11,4
2023-06-15,Acer,Predator Helios,39,175,32,7
2021-03-26,Samsung,Galaxy S21,28,326,23,11
2022-05-11,Apple,MacBook Pro 16,10,379,38,3
2022-10-01,HP,Spectre x360,22,36,41,11
2021-02-14,MSI,GE76 Raider,43,242,23,5
2023-03-15,Google,Pixel 5,31,433,48,8
2022-07-24,Google,Pixel 5,16,484,34,7
2022-04-19,Acer,Swift 3,41,253,25,14
2022-04-20,Acer,Aspire 5,28,349,13,14
2021-06-29,Lenovo,IdeaPad 3,30,392,18,10
2023-12-01,Asus,VivoBook 15,23,342,35,4
2023-01-09,Apple,MacBook Pro 13,32,330,23,14
2022-01-19,Dell,XPS 13,24,163,25,4
2021-02-21,OnePlus,OnePlus 8,29,30,29,7
2023-03-13,Apple,MacBook Air,40,292,28,9
2021-05-16,Asus,VivoBook 15,19,302,36,14
2022-03-01,Acer,Aspire 5,38,37,13,5
2021-04-12,Xiaomi,Mi 10,32,402,26,14
2022-10-03,HP,Spectre x360,12,284,17,12
2022-03-17,HP,Spectre x360,42,172,11,14
2022-10-11,Dell,Latitude 7420,50,169,40,14
2024-05-25,Lenovo,IdeaPad 3,15,41,17,10
2022-04-20,Apple,MacBook Pro 13,9,70,26,10
2024-10-20,Oppo,Oppo A74,16,487,30,7
2024-04-26,Acer,Swift 3,33,160,19,14
2022-07-08,Apple,iPhone 12,44,380,48,3
2021-04-15,Xiaomi,Mi 11,41,158,18,4
2023-07-30,Acer,Swift 3,32,357,39,5
2024-07-30,Realme,Realme X7,40,304,23,8
2021-11-29,Vivo,Vivo V20,3,491,45,12
2024-04-17,Lenovo,IdeaPad 3,17,352,33,9
2022-07-23,Dell,XPS 13,21,208,44,3
2024-02-14,Apple,MacBook Pro 13,14,77,24,8
2023-03-12,HP,EliteBook 840,16,109,40,12
2021-11-24,Lenovo,ThinkPad X1,49,267,43,8
2022-11-05,Oppo,Oppo A74,19,361,34,5
2021-06-08,OnePlus,OnePlus 9,44,456,42,11
2023-01-11,Lenovo,IdeaPad 3,7,449,39,10
2021-04-17,Xiaomi,Mi 11,28,53,18,11
2024-01-30,Xiaomi,Redmi Note 9,48,138,31,14
2021-11-13,HP,Pavilion 15,25,452,38,4
2022-04-15,OnePlus,OnePlus Nord,3,465,24,7
2022-02-27,OnePlus,OnePlus 8,35,171,43,10
2022-01-19,Acer,Swift 3,31,63,50,7
2024-05-08,Samsung,Galaxy S20,3,195,38,7
2024-03-28,Asus,ZenBook 14,24,56,25,14
2021-04-02,Vivo,Vivo V20,33,64,34,5
2022-08-12,Apple,MacBook Air,7,181,49,13
2024-03-14,Google,Pixel 5,11,364,31,14
2022-07-18,Dell,Inspiron 15,18,351,40,6
2024-03-01,Dell,XPS 13,12,23,11,3
2022-07-22,Apple,MacBook Air,12,160,25,7
2024-06-24,Apple,MacBook Pro 16,11,307,41,6
2023-02-10,Oppo,Oppo Reno 5,21,142,21,13
2022-07-07,Acer,Predator Helios,19,347,37,5
2023-10-27,MSI,GF65 Thin,42,36,37,11
2024-11-04,Asus,VivoBook 15,13,464,43,10
2024-09-27,Oppo,Oppo A74,6,111,22,12
2021-08-27,Vivo,Vivo V20,2,62,39,4
2023-01-06,Oppo,Oppo Reno 5,42,48,18,9
2022-08-13,Xiaomi,Mi 11,41,65,44,5
2021-08-22,Xiaomi,Redmi Note 9,44,386,40,4
2024-04-20,MSI,GE76 Raider,9,114,36,4
2024-12-20,Dell,Inspiron 15,20,246,11,4
2023-09-07,Apple,MacBook Air,41,80,31,9
2021-03-04,Dell,Latitude 7420,13,142,34,10
2024-11-15,Apple,iPhone 11,25,126,17,10
2021-05-30,Lenovo,Legion 5,43,257,39,11
2024-12-26,Dell,XPS 13,26,493,13,6
2021-03-15,Oppo,Oppo Reno 5,17,165,10,7
2023-02-03,Samsung,Galaxy S20,40,269,25,3
2021-08-21,Apple,iPhone 13,37,251,37,12
2021-07-10,OnePlus,OnePlus 8,2,31,11,7
2024-10-21,Xiaomi,Mi 11,22,383,28,13
2021-03-19,HP,Spectre x360,28,497,30,8
2024-02-09,Realme,Realme X7,2,459,46,6
2021-05-24,Apple,MacBook Pro 16,28,184,16,14
2021-03-25,Xiaomi,Mi 11,47,328,25,12
2021-10-15,OnePlus,OnePlus 8,28,296,33,13
2023-10-01,Vivo,Vivo X50,39,253,40,7
2021-10-21,Asus,VivoBook 15,8,298,43,10
2024-03-21,Vivo,Vivo X50,33,360,30,5
2024-03-10,Apple,iPhone 13,46,496,38,12
2021-06-22,Lenovo,IdeaPad 3,28,421,14,8
2023-12-26,Google,Pixel 6,1,475,31,14
2024-02-18,HP,EliteBook 840,30,433,48,13
2021-05-07,Dell,Latitude 7420,14,208,14,5
2023-01-30,MSI,GE76 Raider,10,125,39,3
2022-03-10,OnePlus,OnePlus Nord,16,67,47,13
2024-08-08,Acer,Aspire 5,5,225,50,9
2024-07-01,Apple,MacBook Air,32,188,49,9
2024-11-29,Acer,Predator Helios,21,478,15,10
2023-08-23,Apple,MacBook Air,20,475,15,13
2023-12-02,Dell,Latitude 7420,14,301,35,5
2021-03-19,Google,Pixel 6,19,186,46,10
2021-07-21,Lenovo,IdeaPad 3,38,167,46,11
2022-12-26,Dell,Latitude 7420,44,136,24,13
2024-08-26,Vivo,Vivo X50,6,45,41,3
2023-08-14,MSI,GF65 Thin,13,488,40,8
2023-04-26,Asus,VivoBook 15,26,282,30,11
2022-11-15,Apple,MacBook Air,3,273,18,14
2022-02-11,Apple,iPhone 12,40,442,29,9
2022-03-12,Apple,iPhone 12,33,125,29,11
2023-02-21,MSI,GE76 Raider,25,300,27,7
2021-08-13,Dell,XPS 13,38,133,41,13
2023-12-17,OnePlus,OnePlus Nord,4,30,28,8
2024-02-27,Lenovo,ThinkPad X1,30,444,17,7
2022-12-21,OnePlus,OnePlus Nord,47,324,30,4
2023-05-22,Asus,VivoBook 15,37,204,48,8
2023-05-07,Google,Pixel 5,49,148,16,11
2021-08-28,Oppo,Oppo Reno 5,32,361,10,10
2022-05-29,Realme,Realme X7,34,385,20,8
2022-05-11,Acer,Aspire 5,9,150,10,12
2023-06-20,Realme,Realme 7,20,470,31,7
2022-10-12,Apple,MacBook Pro 13,42,256,39,6
2021-05-09,Realme,Realme 7,17,368,14,9
2024-09-05,OnePlus,OnePlus 9,32,107,16,13
2022-01-16,Realme,Realme X7,33,276,11,12
2022-04-30,Acer,Swift 3,8,460,40,5
2021-04-27,HP,Spectre x360,25,72,16,14
2024-05-31,HP,Spectre x360,21,42,39,7
2023-09-22,Samsung,Galaxy S20,43,441,37,14
2021-12-28,Asus,ZenBook 14,1,219,42,13
2022-06-09,OnePlus,OnePlus Nord,25,480,46,11
2022-10-31,Xiaomi,Mi 10,45,209,44,6
2024-11-05,MSI,Stealth 15M,12,449,28,10
2023-11-14,Dell,XPS 13,21,276,42,13
2022-06-26,OnePlus,OnePlus 8,43,174,30,12
2021-06-29,Realme,Realme X7,22,371,15,9
2024-04-07,Apple,iPhone 11,12,143,48,10
2024-04-24,HP,EliteBook 840,13,124,46,4
2023-11-08,Dell,Inspiron 15,32,27,34,14
2022-10-16,Apple,MacBook Air,38,400,13,4
2021-08-11,Acer,Predator Helios,9,178,24,7
2023-07-03,Apple,MacBook Air,46,274,24,10
2022-11-20,Apple,MacBook Pro 13,46,80,32,11
2024-10-14,Asus,VivoBook 15,19,354,17,6
2023-02-01,Oppo,Oppo Reno 5,25,325,35,10
2023-01-07,Oppo,Oppo A74,45,31,43,11
2022-06-01,Samsung,Galaxy Note 10,3,202,17,11
2021-10-27,Apple,iPhone 11,22,285,30,11
2021-11-01,OnePlus,OnePlus Nord,35,229,38,14
2024-05-13,Acer,Predator Helios,33,229,16,3
2022-06-22,Xiaomi,Mi 10,5,406,37,7
2022-11-28,Acer,Aspire 5,49,222,41,12
2021-04-23,Lenovo,IdeaPad 3,46,498,34,7
2022-07-24,OnePlus,OnePlus 9,31,202,11,10
2022-09-23,HP,Spectre x360,19,89,37,4
2021-03-07,Apple,MacBook Pro 13,42,428,11,13
2021-09-29,Acer,Predator Helios,17,486,42,4
2024-12-31,Xiaomi,Mi 11,44,51,37,14
2022-01-02,Realme,Realme X7,26,332,20,11
2023-09-15,Lenovo,IdeaPad 3,41,351,21,10
2021-10-01,Dell,Inspiron 15,40,53,40,10
2023-03-27,Google,Pixel 4a,25,50,45,9
2021-11-02,Acer,Swift 3,23,97,11,12
2023-04-04,Acer,Predator Helios,34,40,11,8
2021-07-25,Apple,iPhone 11,15,88,46,6
2024-11-16,Asus,ZenBook 14,4,281,39,8
2023-03-12,Dell,Inspiron 15,34,266,12,7
2024-11-05,MSI,GF65 Thin,23,495,35,10
2021-08-01,Acer,Predator Helios,13,434,20,13
2021-09-25,Asus,VivoBook 15,6,183,40,8
2024-08-20,Realme,Realme X7,45,37,49,14
2024-01-05,Asus,ROG Zephyrus,2,90,43,13
2023-08-14,Vivo,Vivo Y51,7,360,39,7
2023-12-08,Lenovo,ThinkPad X1,27,182,18,13
2021-03-04,Apple,MacBook Air,24,118,21,10
2023-11-03,Apple,MacBook Pro 13,22,476,43,7
2021-12-05,Google,Pixel 4a,34,487,14,8
2022-05-07,Google,Pixel 5,25,199,31,12
2024-03-20,Acer,Swift 3,25,170,21,8
2022-05-18,Asus,VivoBook 15,27,248,41,5
2023-02-01,Oppo,Oppo Reno 5,21,219,46,4
2024-07-14,Google,Pixel 5,15,396,48,12
2024-08-11,OnePlus,OnePlus 9,45,122,11,8
2022-09-20,Samsung,Galaxy S21,13,71,34,9
2023-05-18,Google,Pixel 4a,25,117,30,12
2021-11-25,MSI,Stealth 15M,12,328,21,4
2021-02-24,Apple,iPhone 11,31,473,49,10
2024-11-15,Xiaomi,Mi 11,8,302,20,11
2024-01-15,Lenovo,Legion 5,45,368,40,8
2022-03-07,Acer,Aspire 5,12,116,23,4
2021-06-03,Realme,Realme X7,12,399,17,4
2023-09-22,Apple,iPhone 12,11,356,42,10
2021-12-21,HP,Spectre x360,7,195,16,6
2023-11-04,Realme,Realme X7,41,398,21,12
2021-12-02,HP,Spectre x360,42,153,15,14
2024-06-10,Apple,MacBook Air,41,165,39,9
2021-07-13,Asus,ZenBook 14,1,349,40,3
2023-03-02,HP,Pavilion 15,45,137,37,11
2024-10-31,Lenovo,ThinkPad X1,12,397,18,10
2021-09-04,Xiaomi,Redmi Note 9,30,391,26,5
2021-10-31,Asus,ZenBook 14,40,388,49,7
2023-07-06,Oppo,Oppo Reno 5,42,486,44,10
2023-11-10,Apple,MacBook Pro 13,23,36,49,8
2021-03-02,HP,EliteBook 840,20,291,33,6
2024-07-24,Samsung,Galaxy S20,26,219,32,8
2023-02-09,Xiaomi,Mi 10,31,282,18,12
2023-04-24,Realme,Realme 8,28,178,25,6
2024-05-21,OnePlus,OnePlus 8,2,83,50,14
2022-09-29,Realme,Realme 7,40,308,30,13
2023-10-03,Vivo,Vivo X50,39,68,10,13
2024-01-18,Xiaomi,Redmi Note 9,13,262,34,5
